STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,031,171100,4235,+41.941914,-087.781675
17,031,180100,6656,+41.934156,-087.798606
17,031,190100,2325,+41.935777,-087.744845
17,031,190200,5652,+41.935044,-087.751577
17,031,190300,5738,+41.934986,-087.761171
17,031,190401,4325,+41.934359,-087.780886
17,031,190402,5294,+41.934497,-087.771467
17,031,190601,4382,+41.928333,-087.779479
17,031,190602,5378,+41.927400,-087.771346
17,031,190701,2972,+41.929638,-087.761670
17,031,190702,4952,+41.926203,-087.761059
17,031,190800,6831,+41.927666,-087.752006
17,031,190900,1927,+41.927823,-087.744231
17,031,191000,2422,+41.920117,-087.744041
17,031,191100,7533,+41.919872,-087.751207
17,031,191200,3810,+41.920680,-087.758364
17,031,191301,5214,+41.920882,-087.780146
17,031,191302,4940,+41.921148,-087.770641
17,031,200100,4118,+41.935030,-087.737885
17,031,200200,5162,+41.927527,-087.736846
17,031,200300,2015,+41.923411,-087.733689
17,031,200401,3743,+41.919830,-087.736350
17,031,200402,4192,+41.919698,-087.730049
17,031,210100,4066,+41.942119,-087.702877
17,031,210400,2912,+41.935993,-087.729971
17,031,210501,3555,+41.937383,-087.722348
17,031,210502,4099,+41.933823,-087.722126
17,031,210601,2717,+41.937612,-087.712792
17,031,210602,4148,+41.934216,-087.712586
17,031,210700,3907,+41.935115,-087.703748
17,031,210800,986,+41.936312,-087.699031
17,031,210900,3170,+41.935191,-087.693864
17,031,220300,2207,+41.927834,-087.695112
17,031,220400,2579,+41.928613,-087.699990
17,031,220500,2751,+41.928487,-087.704840
17,031,220601,1635,+41.925915,-087.712634
17,031,220602,4877,+41.929547,-087.712015
17,031,220701,2920,+41.926276,-087.721714
17,031,220702,3653,+41.929659,-087.721757
17,031,220901,2903,+41.919370,-087.720594
17,031,220902,2959,+41.922714,-087.721700
17,031,221000,2432,+41.920967,-087.715261
17,031,221100,4440,+41.920881,-087.710370
17,031,221200,2954,+41.921235,-087.704805
17,031,221300,3062,+41.921222,-087.699600
17,031,221400,3385,+41.920803,-087.694698
17,031,221500,2909,+41.921769,-087.690022
17,031,221600,3159,+41.921239,-087.685022
17,031,222200,2156,+41.915857,-087.683978
17,031,222500,1415,+41.915850,-087.699426
17,031,222600,1599,+41.915614,-087.704458
17,031,222700,2082,+41.915589,-087.710330
17,031,222800,960,+41.915482,-087.715060
17,031,222900,1089,+41.915783,-087.718977
17,031,230100,1504,+41.912133,-087.704293
17,031,230200,1834,+41.911985,-087.709802
17,031,230300,956,+41.911968,-087.714914
17,031,230400,2235,+41.911590,-087.721484
17,031,230500,3419,+41.911669,-087.730442
17,031,230600,6817,+41.906037,-087.731719
17,031,230700,6218,+41.906509,-087.722026
17,031,230800,1234,+41.907388,-087.715453
17,031,230900,5044,+41.906586,-087.710237
17,031,231100,1214,+41.898494,-087.715277
17,031,231200,5983,+41.899241,-087.721157
17,031,231500,5655,+41.891956,-087.718036
17,031,240200,1556,+41.912537,-087.670362
17,031,240300,1362,+41.912438,-087.674953
17,031,240500,2610,+41.911999,-087.683911
17,031,240600,1489,+41.912243,-087.689765
17,031,240700,1499,+41.911888,-087.694168
17,031,240800,1687,+41.911978,-087.699237
17,031,240900,1122,+41.901073,-087.698973
17,031,241000,2363,+41.907989,-087.694516
17,031,241100,3574,+41.906727,-087.689620
17,031,241200,1714,+41.907775,-087.684672
17,031,241300,1848,+41.906440,-087.681139
17,031,241400,5273,+41.905902,-087.675163
17,031,241500,2954,+41.908775,-087.671055
17,031,241600,3534,+41.906650,-087.665496
17,031,242000,4692,+41.899698,-087.664888
17,031,242100,3976,+41.899919,-087.669912
17,031,242200,4082,+41.899492,-087.674703
17,031,242300,3568,+41.899374,-087.679473
17,031,242400,2902,+41.898834,-087.684649
17,031,242500,3426,+41.899402,-087.689537
17,031,242600,5665,+41.900682,-087.694044
17,031,242700,1938,+41.897723,-087.699177
17,031,242800,1507,+41.893823,-087.690404
17,031,242900,1962,+41.893098,-087.684439
17,031,243000,2234,+41.893230,-087.679376
17,031,243100,2249,+41.893591,-087.674658
17,031,243200,2287,+41.893235,-087.669675
17,031,243300,2431,+41.893448,-087.664641
17,031,243400,2880,+41.893183,-087.660067
17,031,243500,4746,+41.893273,-087.652075
17,031,250200,2779,+41.911638,-087.750793
17,031,250300,4742,+41.912264,-087.761227
17,031,250400,5789,+41.911597,-087.774868
17,031,250500,7315,+41.914840,-087.796852
17,031,250600,4203,+41.905594,-087.770683
17,031,250700,5932,+41.905902,-087.760670
17,031,250800,2432,+41.905762,-087.752146
17,031,251000,1075,+41.898691,-087.747157
17,031,251100,4468,+41.898782,-087.752043
17,031,251200,3910,+41.898613,-087.760758
17,031,251300,5098,+41.898632,-087.770359
17,031,251400,3986,+41.891437,-087.770496
17,031,251500,4342,+41.891453,-087.760875
17,031,251600,3522,+41.891411,-087.751797
17,031,251700,1347,+41.891814,-087.745521
17,031,251800,5101,+41.883411,-087.749294
17,031,251900,5387,+41.883564,-087.760978
17,031,252000,5646,+41.883474,-087.769948
17,031,252101,1502,+41.878901,-087.770159
17,031,252102,6187,+41.876352,-087.760282
17,031,252201,2940,+41.877061,-087.752041
17,031,252202,4783,+41.876897,-087.745681
17,031,260100,1477,+41.883167,-087.722508
17,031,260200,1054,+41.883502,-087.728625
17,031,260300,1528,+41.883606,-087.733364
17,031,260400,1398,+41.883585,-087.737530
17,031,260500,1833,+41.877011,-087.737516
17,031,260600,2114,+41.877457,-087.733086
17,031,260700,1691,+41.877031,-087.728049
17,031,260800,2271,+41.877204,-087.722859
17,031,260900,1778,+41.871010,-087.722416
17,031,261000,2289,+41.871340,-087.731355
17,031,270500,1619,+41.872395,-087.717647
17,031,271200,1172,+41.878353,-087.703170
17,031,271300,1060,+41.878014,-087.709191
17,031,271400,1535,+41.877563,-087.713567
17,031,271500,1373,+41.871706,-087.713156
17,031,271800,976,+41.871704,-087.698387
17,031,280100,7421,+41.886383,-087.643083
17,031,280400,1231,+41.884293,-087.671689
17,031,280800,1198,+41.877913,-087.688893
17,031,280900,1077,+41.877782,-087.685083
17,031,281900,7031,+41.879956,-087.643452
17,031,282700,2558,+41.871400,-087.688017
17,031,282800,1634,+41.870597,-087.684831
17,031,283100,2717,+41.869411,-087.663828
17,031,283200,1670,+41.869136,-087.659163
17,031,283800,3343,+41.863111,-087.654087
17,031,290900,3975,+41.862518,-087.730683
17,031,291200,2286,+41.862205,-087.712810
17,031,291600,874,+41.857558,-087.694464
17,031,292200,2942,+41.856707,-087.715661
17,031,292400,2041,+41.855472,-087.722091
17,031,292500,4057,+41.854617,-087.729454
17,031,300500,3243,+41.847127,-087.721864
17,031,300600,3253,+41.847677,-087.717527
17,031,300700,4798,+41.847774,-087.712362
17,031,300800,4136,+41.848067,-087.707556
17,031,300900,4553,+41.848152,-087.702414
17,031,301100,2323,+41.847167,-087.697924
17,031,301200,4087,+41.848778,-087.692818
17,031,301600,4995,+41.840739,-087.712175
17,031,301701,4279,+41.842452,-087.719556
17,031,301702,4121,+41.838926,-087.719827
17,031,301801,3947,+41.840860,-087.733404
17,031,301802,3376,+41.844982,-087.727781
17,031,301803,5107,+41.839618,-087.727950
17,031,310200,1588,+41.857334,-087.644509
17,031,310300,1767,+41.856602,-087.649381
17,031,310400,1375,+41.857035,-087.652294
17,031,310500,1399,+41.856254,-087.654793
17,031,310600,5498,+41.857040,-087.659203
17,031,310700,1700,+41.856381,-087.664895
17,031,310800,4175,+41.855842,-087.668804
17,031,310900,4781,+41.855209,-087.674825
17,031,320101,9532,+41.886138,-087.616945
17,031,320102,4846,+41.885441,-087.624192
17,031,320400,2856,+41.878064,-087.625916
17,031,320600,6395,+41.870082,-087.625784
17,031,330101,4592,+41.862083,-087.620367
17,031,330102,10811,+41.864274,-087.624225
17,031,330103,8248,+41.856747,-087.623310
17,031,330200,4008,+41.859068,-087.628570
17,031,340300,1865,+41.842218,-087.635351
17,031,340400,1844,+41.841695,-087.632918
17,031,340500,1629,+41.836292,-087.633121
17,031,340600,1151,+41.825894,-087.632443
17,031,350100,2228,+41.841637,-087.616052
17,031,350400,1512,+41.841748,-087.628396
17,031,351000,3640,+41.834292,-087.613272
17,031,351100,2038,+41.828858,-087.615202
17,031,351400,1392,+41.826754,-087.623744
17,031,351500,823,+41.828596,-087.627656
17,031,360200,1651,+41.826956,-087.609891
17,031,380100,2207,+41.819395,-087.610197
17,031,380200,2408,+41.820406,-087.615106
17,031,380600,3947,+41.819863,-087.622097
17,031,381200,2077,+41.808188,-087.614282
17,031,381400,1796,+41.807638,-087.620706
17,031,381500,667,+41.810226,-087.622893
17,031,381700,18,+41.804963,-087.628533
17,031,381800,1462,+41.804027,-087.620672
17,031,381900,1106,+41.803956,-087.613860
17,031,390100,1553,+41.812523,-087.595180
17,031,390200,1883,+41.813304,-087.599481
17,031,390300,2617,+41.812080,-087.604016
17,031,390400,2871,+41.806055,-087.604074
17,031,390500,1666,+41.806661,-087.599086
17,031,390600,1994,+41.805581,-087.594277
17,031,390700,6532,+41.805082,-087.587035
17,031,400300,1504,+41.796511,-087.620801
17,031,400400,1995,+41.790980,-087.617867
17,031,400500,2372,+41.790757,-087.622804
